"filename", "language", "Python", "Markdown", "Log", "comment", "blank", "total"
"d:\UEL UNI Work\Advanced SE\Python-Tkinter-Game\Logs\mylogfile_2023-12-09_19-55.log", "Log", 0, 0, 1, 0, 1, 2
"d:\UEL UNI Work\Advanced SE\Python-Tkinter-Game\Logs\mylogfile_2023-12-09_19-58.log", "Log", 0, 0, 6, 0, 1, 7
"d:\UEL UNI Work\Advanced SE\Python-Tkinter-Game\Logs\mylogfile_2023-12-09_20-05.log", "Log", 0, 0, 17, 0, 1, 18
"d:\UEL UNI Work\Advanced SE\Python-Tkinter-Game\log.log", "Log", 0, 0, 2, 0, 1, 3
"d:\UEL UNI Work\Advanced SE\Python-Tkinter-Game\main.py", "Python", 658, 0, 0, 74, 242, 974
"d:\UEL UNI Work\Advanced SE\Python-Tkinter-Game\readme.md", "Markdown", 0, 6, 0, 0, 12, 18
"d:\UEL UNI Work\Advanced SE\Python-Tkinter-Game\tester.py", "Python", 79, 0, 0, 10, 46, 135
"Total", "-", 737, 6, 26, 84, 304, 1157
