2023-12-03 23:59:29,177 - INFO - Starting Game
2023-12-03 23:59:29,837 - INFO - YES
2023-12-03 23:59:30,273 - INFO - YES
2023-12-03 23:59:31,833 - INFO - YES
2023-12-03 23:59:33,906 - INFO - Using MedKit
2023-12-03 23:59:34,486 - INFO - YES
2023-12-03 23:59:35,349 - INFO - YES
2023-12-03 23:59:36,507 - INFO - Using MedKit
2023-12-03 23:59:36,921 - INFO - YES
2023-12-03 23:59:37,654 - INFO - YES
2023-12-03 23:59:38,515 - INFO - Using MedKit
2023-12-03 23:59:39,175 - INFO - YES
2023-12-03 23:59:40,148 - INFO - YES
2023-12-03 23:59:41,105 - INFO - YES
2023-12-03 23:59:41,944 - INFO - Using MedKit
2023-12-03 23:59:42,638 - INFO - YES
2023-12-03 23:59:44,847 - INFO - YES
2023-12-03 23:59:45,375 - INFO - Using MedKit
2023-12-03 23:59:46,089 - INFO - YES
2023-12-03 23:59:46,738 - INFO - WON
