2023-12-09 20:05:08,232 - INFO - Starting Game
2023-12-09 20:05:10,092 - INFO - YES
2023-12-09 20:05:11,770 - INFO - YES
2023-12-09 20:05:16,985 - INFO - YES
2023-12-09 20:05:20,924 - INFO - YES
2023-12-09 20:05:22,476 - INFO - YES
2023-12-09 20:05:29,291 - INFO - YES
2023-12-09 20:05:31,788 - INFO - Using MedKit
2023-12-09 20:05:32,342 - INFO - YES
2023-12-09 20:05:33,382 - INFO - YES
2023-12-09 20:05:35,640 - INFO - YES
2023-12-09 20:05:37,944 - INFO - YES
2023-12-09 20:05:38,899 - INFO - YES
2023-12-09 20:05:39,793 - INFO - YES
2023-12-09 20:05:41,321 - INFO - YES
2023-12-09 20:05:42,598 - INFO - Using MedKit
2023-12-09 20:05:43,065 - INFO - WON
